Slot Name,Model Name,Make Name,Slot Currency,Slot Reading Hour,Games Played This Hour,Dollars Player Bet,Dollars Player Lost,Theory Player Lost Amount,Slot Ideal Payback Percentage
Slot 160,I-Game 044,IGT,$,2019-01-07 01:00:00,0,0.00000,0.00000,0.000000000,0.0500
Slot 260,Roulette,ZUUM,C$,2019-03-19 08:00:00,0,0.00000,0.00000,0.000000000,0.0400
Slot 121,A560,Ainsworth,$,2019-01-13 14:00:00,0,0.00000,0.00000,0.000000000,0.0897
Slot 121,A560,Ainsworth,$,2019-03-09 08:00:00,0,0.00000,0.00000,0.000000000,0.0897
Slot 160,I-Game 044,IGT,$,2019-01-30 11:00:00,0,0.00000,0.00000,0.000000000,0.0500
Slot 160,I-Game 044,IGT,$,2019-01-13 14:00:00,0,0.00000,0.00000,0.000000000,0.0500
Slot 160,I-Game 044,IGT,$,2019-03-09 08:00:00,0,0.00000,0.00000,0.000000000,0.0500
Slot 330,Oxygen Slant NIO C$,Atronic,C$,2019-01-03 14:00:00,583,16.26570,-0.66371,1.301256000,0.0800
Slot 160,I-Game 044,IGT,$,2019-02-02 21:00:00,0,0.00000,0.00000,0.000000000,0.0500
Slot 330,Oxygen Slant NIO C$,Atronic,C$,2019-01-17 01:00:00,773,21.56670,1.70624,1.725336000,0.0800
Slot 219,GK 100 AVP,IGT,C$,2019-02-16 15:00:00,235,709.02000,181.80000,28.360800000,0.0400
Slot 160,I-Game 044,IGT,$,2019-02-16 15:00:00,0,0.00000,0.00000,0.000000000,0.0500
