Slot Name,Model Name,Make Name,Slot Currency,Slot Reading Hour,Games Played This Hour,Dollars Player Bet,Dollars Player Lost,Theory Player Lost Amount,Slot Ideal Payback Percentage
Slot 149,Novostar II US$,Novomatic,$,2019-02-13 04:00:00,0,0.00000,0.00000,0.000000000,0.0536
Slot 164,Admiral - Ult 10,Novomatic,$,2019-03-16 02:00:00,0,0.00000,0.00000,0.000000000,0.0534
Slot 200,Crystal Slant US $,IGT,$,2019-02-16 15:00:00,0,0.00000,0.00000,0.000000000,0.0755
Slot 200,Crystal Slant US $,IGT,$,2019-03-02 07:00:00,0,0.00000,0.00000,0.000000000,0.0755
Slot 298,AXXIS 23/23,IGT,$,2019-02-02 21:00:00,186,465.00000,212.30000,37.200000000,0.0800
Slot 215,EGT - Premier,EGT,$,2019-02-26 23:00:00,0,0.00000,0.00000,0.000000000,0.0579
Slot 266,Roulette,ZUUM,C$,2019-01-17 00:00:00,0,0.00000,0.00000,0.000000000,0.0400
Slot 317,Emotion NIO Cord,Atronic,C$,2019-01-17 00:00:00,0,0.00000,0.00000,0.000000000,0.0800
Slot 215,EGT - Premier,EGT,$,2019-01-03 14:00:00,350,360.00000,76.40000,20.844000000,0.0579
Slot 298,AXXIS 23/23,IGT,$,2019-01-17 00:00:00,0,0.00000,0.00000,0.000000000,0.0800
Slot 266,Roulette,ZUUM,C$,2019-01-03 14:00:00,32,138.68030,-45.16666,5.547212000,0.0400
Slot 215,EGT - Premier,EGT,$,2019-01-23 15:00:00,1232,5254.30000,-9.70000,304.223970000,0.0579
Slot 215,EGT - Premier,EGT,$,2019-03-02 08:00:00,0,0.00000,0.00000,0.000000000,0.0579
Slot 298,AXXIS 23/23,IGT,$,2019-02-09 16:00:00,192,96.00000,-30.26000,7.680000000,0.0800
Slot 200,Crystal Slant US $,IGT,$,2019-01-03 14:00:00,0,0.00000,0.00000,0.000000000,0.0755
Slot 181,Bluebird 2,Williams,$,2019-01-30 11:00:00,0,0.00000,0.00000,0.000000000,0.0806
Slot 215,EGT - Premier,EGT,$,2019-01-17 01:00:00,34,32.25000,20.00000,1.867275000,0.0579
Slot 215,EGT - Premier,EGT,$,2019-03-19 08:00:00,179,33.10000,9.80000,1.916490000,0.0579
Slot 215,EGT - Premier,EGT,$,2019-02-23 11:00:00,192,308.10000,38.16000,17.838990000,0.0579
Slot 200,Crystal Slant US $,IGT,$,2019-03-12 14:00:00,0,0.00000,0.00000,0.000000000,0.0755
Slot 200,Crystal Slant US $,IGT,$,2019-01-30 11:00:00,0,0.00000,0.00000,0.000000000,0.0755
Slot 215,EGT - Premier,EGT,$,2019-03-16 02:00:00,0,0.00000,0.00000,0.000000000,0.0579
Slot 317,Emotion NIO Cord,Atronic,C$,2019-02-13 04:00:00,0,0.00000,0.00000,0.000000000,0.0800
Slot 266,Roulette,ZUUM,C$,2019-02-20 03:00:00,0,0.00000,0.00000,0.000000000,0.0400
Slot 298,AXXIS 23/23,IGT,$,2019-03-09 08:00:00,0,0.00000,0.00000,0.000000000,0.0800
Slot 298,AXXIS 23/23,IGT,$,2019-01-20 07:00:00,0,0.00000,0.00000,0.000000000,0.0800
Slot 200,Crystal Slant US $,IGT,$,2019-03-09 08:00:00,0,0.00000,0.00000,0.000000000,0.0755
